Full Journal Title	Journal Impact Factor
Journal of Flood Risk Management	3.121
CLASSICAL AND QUANTUM GRAVITY	3.119
PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG	3.119
HEMATOLOGICAL ONCOLOGY	3.118
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY	3.116
Swarm Intelligence	3.115
Nanophotonics	3.114
SHOCK	3.113
Transplantation Reviews	3.113
BIOCHIMIE	3.112
GLYCOBIOLOGY	3.112
GENE THERAPY	3.110
Journal of the Mechanical Behavior of Biomedical Materials	3.110
SIGNAL PROCESSING	3.110
Annual Review of Statistics and Its Application	3.108
JOURNAL OF COGNITIVE NEUROSCIENCE	3.108
JOURNAL OF COGNITIVE NEUROSCIENCE	3.108
RSC Advances	3.108
ORGANIZATION STUDIES	3.107
Advances in Inorganic Chemistry	3.105
JOURNAL OF ANXIETY DISORDERS	3.105
Frontiers in Behavioral Neuroscience	3.104
KIDNEY & BLOOD PRESSURE RESEARCH	3.104
APPLIED CLAY SCIENCE	3.101
MARINE ENVIRONMENTAL RESEARCH	3.101
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS	3.100
Managing Service Quality	3.100
NEUROTOXICOLOGY	3.100
REPRODUCTION	3.100
JOURNAL OF FOOD ENGINEERING	3.099
STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL	3.097
STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL	3.097
ORE GEOLOGY REVIEWS	3.095
PSYCHO-ONCOLOGY	3.095
PSYCHO-ONCOLOGY	3.095
Drug Delivery and Translational Research	3.094
ENVIRONMENTAL IMPACT ASSESSMENT REVIEW	3.094
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY	3.094
LEADERSHIP QUARTERLY	3.094
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING	3.094
MEDICAL MICROBIOLOGY AND IMMUNOLOGY	3.093
PHYTOTHERAPY RESEARCH	3.092
ENERGY & FUELS	3.091
Atmospheric Measurement Techniques	3.089
BMB Reports	3.089
Biology Letters	3.089
HEALTH SERVICES RESEARCH	3.089
HEALTH SERVICES RESEARCH	3.089
LAND USE POLICY	3.089
AMERICAN JOURNAL OF SOCIOLOGY	3.088
ACTA NEUROLOGICA SCANDINAVICA	3.087
HARMFUL ALGAE	3.087
MECHANISMS OF AGEING AND DEVELOPMENT	3.087
FOOD POLICY	3.086
FOOD POLICY	3.086
FOOD RESEARCH INTERNATIONAL	3.086
ANGIOLOGY	3.085
JOURNAL OF CELLULAR BIOCHEMISTRY	3.085
MOLECULAR AND CELLULAR NEUROSCIENCE	3.084
ANNALS OF HEMATOLOGY	3.083
JOURNAL OF CLASSIFICATION	3.083
JOURNAL OF CLASSIFICATION	3.083
JOURNAL OF MAGNETIC RESONANCE IMAGING	3.083
Catalysts	3.082
ORGANIC GEOCHEMISTRY	3.081
BIOFOULING	3.080
Parasites & Vectors	3.080
INTERNATIONAL JOURNAL OF ONCOLOGY	3.079
TRANSPLANT INTERNATIONAL	3.079
Business Strategy and the Environment	3.076
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A	3.076
CHEMPHYSCHEM	3.075
Current Opinion in Organ Transplantation	3.073
FUNGAL GENETICS AND BIOLOGY	3.072
JUSTICE QUARTERLY	3.072
BIOLOGICAL PSYCHOLOGY	3.070
BIOLOGICAL PSYCHOLOGY	3.070
JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY	3.068
JOURNAL OF DRUG TARGETING	3.068
JOURNAL OF MEMORY AND LANGUAGE	3.065
JOURNAL OF MEMORY AND LANGUAGE	3.065
FOREST ECOLOGY AND MANAGEMENT	3.064
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES	3.064
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES	3.064
ASSESSMENT	3.062
EXPERT OPINION ON EMERGING DRUGS	3.062
DIGESTIVE AND LIVER DISEASE	3.061
Journal of Minimally Invasive Gynecology	3.061
EUROPEAN JOURNAL OF CLINICAL NUTRITION	3.057
SCIENTIFIC STUDIES OF READING	3.056
JOURNAL OF ARTHROPLASTY	3.055
Travel Medicine and Infectious Disease	3.055
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration	3.054
DIABETIC MEDICINE	3.054
MOLECULES AND CELLS	3.054
NEURAL PLASTICITY	3.054
PLANT AND SOIL	3.052
JOURNAL OF CLINICAL VIROLOGY	3.051
Journal of Cancer Survivorship	3.051
Journal of Cancer Survivorship	3.051
AMERICAN JOURNAL OF BOTANY	3.050
GIScience & Remote Sensing	3.049
FIELD CROPS RESEARCH	3.048
IEEE ELECTRON DEVICE LETTERS	3.048
JOURNAL OF FOOD AND DRUG ANALYSIS	3.048
Ad Hoc Networks	3.047
JOURNAL OF ENGINEERING EDUCATION	3.047
JOURNAL OF ENGINEERING EDUCATION	3.047
MYCORRHIZA	3.047
BRITISH MEDICAL BULLETIN	3.045
PHYSIOLOGICAL GENOMICS	3.044
ACTA ASTRONOMICA	3.043
MONTHLY WEATHER REVIEW	3.043
EXPERT OPINION ON THERAPEUTIC PATENTS	3.041
WOUND REPAIR AND REGENERATION	3.041
ANNALEN DER PHYSIK	3.039
Journal of Diabetes	3.039
Journal of Diabetes Investigation	3.039
JOURNAL OF THE GEOLOGICAL SOCIETY	3.037
MICROBIOLOGICAL RESEARCH	3.037
CURRENT HYPERTENSION REPORTS	3.036
JOURNAL OF INTELLIGENT MANUFACTURING	3.035
MICROCHEMICAL JOURNAL	3.034
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS	3.033
BRAIN RESEARCH BULLETIN	3.033
DEVELOPMENTAL NEUROSCIENCE	3.033
Physica Status Solidi-Rapid Research Letters	3.032
ASN Neuro	3.030
JOURNAL OF PERIODONTOLOGY	3.030
Toxins	3.030
IEEE MICROWAVE MAGAZINE	3.029
Emergencias	3.028
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN	3.028
Expert Opinion on Drug Metabolism & Toxicology	3.027
Translational Oncology	3.025
COMPUTERS & CHEMICAL ENGINEERING	3.024
Trends in Hearing	3.024
ANNALS OF STATISTICS	3.023
Purinergic Signalling	3.022
COMMUNICATION RESEARCH	3.021
Health Informatics Journal	3.021
EUROPEAN JOURNAL OF PAIN	3.019
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY	3.018
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY	3.018
Research Synthesis Methods	3.018
INTERNATIONAL ENDODONTIC JOURNAL	3.015
Mindfulness	3.015
HUMAN PATHOLOGY	3.014
HYDROLOGICAL PROCESSES	3.014
AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY	3.013
JOURNAL OF ELECTROANALYTICAL CHEMISTRY	3.012
JOURNAL OF SYNCHROTRON RADIATION	3.011
Bilingualism-Language and Cognition	3.010
MRS Communications	3.010
Physiotherapy	3.010
CELL TRANSPLANTATION	3.006
Frontiers in Neural Circuits	3.005
BEHAVIOURAL BRAIN RESEARCH	3.002
PHARMACEUTICAL RESEARCH	3.002
ADVANCES IN ENGINEERING SOFTWARE	3.000
Advances in Applied Mechanics	3.000
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY	3.000
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	3.000
Chinese Journal of Cancer Research	3.000
FISHERIES	3.000
JOURNAL OF ACCOUNTING RESEARCH	3.000
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS	3.000
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR	3.000
JOURNAL OF SCHOOL PSYCHOLOGY	3.000
Management Accounting Research	3.000
MycoKeys	3.000
PRESLIA	3.000
ASIAN JOURNAL OF ANDROLOGY	2.996
JOURNAL OF SURGICAL ONCOLOGY	2.993
Journal of the American College of Radiology	2.993
CURRENT CANCER DRUG TARGETS	2.992
EUKARYOTIC CELL	2.992
JOURNAL OF SUPERCRITICAL FLUIDS	2.991
STRUCTURAL SAFETY	2.990
Antimicrobial Resistance and Infection Control	2.989
Translational Behavioral Medicine	2.989
Translational Behavioral Medicine	2.989
CERAMICS INTERNATIONAL	2.986
HARVARD REVIEW OF PSYCHIATRY	2.986
HARVARD REVIEW OF PSYCHIATRY	2.986
JOURNAL OF TEACHER EDUCATION	2.984
Progress in Molecular Biology and Translational Science	2.984
Express Polymer Letters	2.983
AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY	2.982
BRITISH JOURNAL OF MANAGEMENT	2.982
INTELLIGENCE	2.982
JOURNAL OF EUROPEAN PUBLIC POLICY	2.982
EARTHQUAKE SPECTRA	2.981
JOURNAL OF ETHNOPHARMACOLOGY	2.981
JOURNAL OF NEURO-ONCOLOGY	2.980
ARCHIVOS DE BRONCONEUMOLOGIA	2.979
MOLECULAR GENETICS AND GENOMICS	2.979
GEOLOGICAL JOURNAL	2.978
Journal of Sexual Medicine	2.978
Journal of Sustainable Tourism	2.978
ANNALS OF BEHAVIORAL MEDICINE	2.976
Current Topics in Membranes	2.976
CEREBROVASCULAR DISEASES	2.974
Nutrition & Metabolism	2.974
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW	2.974
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW	2.974
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION	2.973
Developmental Neurobiology	2.972
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	2.970
JOURNAL OF RAMAN SPECTROSCOPY	2.969
Leukos	2.969
NEUROMUSCULAR DISORDERS	2.969
INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY	2.968
Structural Dynamics	2.968
PANCREAS	2.967
Stem Cell Reviews and Reports	2.967
ECOLOGICAL ECONOMICS	2.965
ECOLOGICAL ECONOMICS	2.965
JOURNAL OF CHEMICAL PHYSICS	2.965
GENETICS SELECTION EVOLUTION	2.964
JOURNAL OF GASTROINTESTINAL SURGERY	2.963
JOURNAL OF SYSTEMATIC PALAEONTOLOGY	2.963
INTERNATIONAL BIODETERIORATION & BIODEGRADATION	2.962
Spine Journal	2.962
European Journal of Internal Medicine	2.960
PUBLIC ADMINISTRATION	2.959
GEOMORPHOLOGY	2.958
Allergy Asthma & Immunology Research	2.957
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION	2.957
INTERNATIONAL IMMUNOPHARMACOLOGY	2.956
Recent Patents on Anti-Cancer Drug Discovery	2.956
CURRENT PROBLEMS IN SURGERY	2.955
INFLAMMATION	2.955
Bone & Joint Journal	2.953
MATHEMATICS AND MECHANICS OF SOLIDS	2.953
Current Alzheimer Research	2.952
JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY	2.952
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	2.951
JAMA Otolaryngology-Head & Neck Surgery	2.951
JOURNAL OF GEODESY	2.949
CLINICAL THERAPEUTICS	2.947
JOURNAL OF CONFLICT RESOLUTION	2.947
INVENTIONES MATHEMATICAE	2.946
ADDICTIVE BEHAVIORS	2.944
ADDICTIVE BEHAVIORS	2.944
DEVELOPMENTAL BIOLOGY	2.944
CALIFORNIA MANAGEMENT REVIEW	2.943
NEUROTOXICITY RESEARCH	2.942
POWDER TECHNOLOGY	2.942
EUROPEAN JOURNAL OF NEUROSCIENCE	2.941
IEEE Transactions on Terahertz Science and Technology	2.940
Bioinspiration & Biomimetics	2.939
CELLULAR AND MOLECULAR NEUROBIOLOGY	2.939
Clinical Implant Dentistry and Related Research	2.939
JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS	2.939
BIOCHEMISTRY	2.938
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING	2.938
ChemNanoMat	2.937
ENVIRONMENTAL TOXICOLOGY	2.937
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS	2.937
IEEE Transactions on Biomedical Circuits and Systems	2.937
JOURNAL OF ENVIRONMENTAL SCIENCES	2.937
GASTROENTEROLOGY CLINICS OF NORTH AMERICA	2.936
LIFE SCIENCES	2.936
Biochemia Medica	2.934
JOURNAL OF SANDWICH STRUCTURES & MATERIALS	2.933
NEWSLETTERS ON STRATIGRAPHY	2.933
Expert Review of Clinical Pharmacology	2.932
PHARMACOTHERAPY	2.932
AMERICAN EDUCATIONAL RESEARCH JOURNAL	2.931
Internet Research	2.931
Internet Research	2.931
BIOORGANIC & MEDICINAL CHEMISTRY	2.930
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS	2.929
Journal of Exposure Science and Environmental Epidemiology	2.927
Body Image	2.926
IEEE Transactions on Dependable and Secure Computing	2.926
REVIEW OF ECONOMICS AND STATISTICS	2.926
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT	2.926
ACADEMIC EMERGENCY MEDICINE	2.925
PHYSICAL REVIEW A	2.925
JOURNAL OF VEGETATION SCIENCE	2.924
Beneficial Microbes	2.923
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY	2.922
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY	2.922
PSYCHONOMIC BULLETIN & REVIEW	2.921
CURRENT OPINION IN OPHTHALMOLOGY	2.920
INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY	2.920
Journal of Informetrics	2.920
Journal of Informetrics	2.920
AUTOMATION IN CONSTRUCTION	2.919
CLINICAL AND EXPERIMENTAL MEDICINE	2.919
Regional Environmental Change	2.919
Regional Environmental Change	2.919
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE	2.918
ChemistryOpen	2.918
COGNITIVE SCIENCE	2.917
International Review of Sport and Exercise Psychology	2.917
AIDS AND BEHAVIOR	2.916
IEEE TRANSACTIONS ON COMPUTERS	2.916
Journal of Cancer	2.916
ECOLOGICAL ENGINEERING	2.914
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY	2.913
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing	2.913
EXPERIMENTAL PHYSIOLOGY	2.912
Population Health Metrics	2.910
American Economic Journal-Macroeconomics	2.909
JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN	2.909
MICROBES AND ENVIRONMENTS	2.909
Smart Materials and Structures	2.909
Molecular Oral Microbiology	2.908
SCIENCE TECHNOLOGY & HUMAN VALUES	2.907
BIOSCIENCE REPORTS	2.906
CORAL REEFS	2.906
HEARING RESEARCH	2.906
Aquaculture Environment Interactions	2.905
IMMUNOLOGIC RESEARCH	2.905
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT	2.905
PROCESS SAFETY AND ENVIRONMENTAL PROTECTION	2.905
ROCK MECHANICS AND ROCK ENGINEERING	2.905
TRIBOLOGY INTERNATIONAL	2.903
EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY	2.902
JOURNAL OF SEX RESEARCH	2.902
INTERNATIONAL JOURNAL OF FATIGUE	2.899
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS	2.899
Regulation & Governance	2.898
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES	2.897
Journal of Service Management	2.897
MEDICAL CARE	2.897
MEDICAL CARE	2.897
BMC ECOLOGY	2.896
EUROPEAN JOURNAL OF PHARMACOLOGY	2.896
JOURNAL OF ADVERTISING	2.896
PHYTOPATHOLOGY	2.896
CHEMICAL ENGINEERING SCIENCE	2.895
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE	2.894
JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY	2.894
LEARNING & MEMORY	2.894
CIRP ANNALS-MANUFACTURING TECHNOLOGY	2.893
OPERATIVE DENTISTRY	2.893
BIOCHEMICAL ENGINEERING JOURNAL	2.892
EUROPEAN JOURNAL OF POLITICAL RESEARCH	2.891
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY	2.891
Semantic Web	2.889
Wiley Interdisciplinary Reviews-Energy and Environment	2.889
MARINE AND PETROLEUM GEOLOGY	2.888
PSYCHIATRIC SERVICES	2.888
PSYCHIATRIC SERVICES	2.888
JOURNAL OF LABOR ECONOMICS	2.887
Journal of Saudi Chemical Society	2.887
NEUROEPIDEMIOLOGY	2.886
PALEOBIOLOGY	2.886
INFECTION GENETICS AND EVOLUTION	2.885
CURRENT OPINION IN PULMONARY MEDICINE	2.884
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES	2.884
JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY	2.883
PEDIATRIC RESEARCH	2.882
CONTRACEPTION	2.879
Journal of Business Logistics	2.878
SUPERCONDUCTOR SCIENCE & TECHNOLOGY	2.878
CONTEMPORARY EDUCATIONAL PSYCHOLOGY	2.877
JOURNAL OF SMALL BUSINESS MANAGEMENT	2.876
DIGESTIVE DISEASES AND SCIENCES	2.875
CLINICA CHIMICA ACTA	2.873
TUBERCULOSIS	2.873
MEDICAL JOURNAL OF AUSTRALIA	2.872
NMR IN BIOMEDICINE	2.872
GEOTEXTILES AND GEOMEMBRANES	2.870
PROTOPLASMA	2.870
ANIMAL BEHAVIOUR	2.869
Allergy Asthma and Clinical Immunology	2.869
PLANT CELL REPORTS	2.869
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	2.868
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	2.868
Regenerative Medicine	2.868
TOXICOLOGY IN VITRO	2.866
Current Rheumatology Reports	2.865
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT	2.865
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES	2.863
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES	2.863
MACROMOLECULAR MATERIALS AND ENGINEERING	2.863
COMPUTATIONAL MECHANICS	2.861
G3-Genes Genomes Genetics	2.861
MOLECULES	2.861
IMMUNOLOGY LETTERS	2.860
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES	2.860
PROGRESS IN ORGANIC COATINGS	2.858
Comparative Biochemistry and Physiology D-Genomics & Proteomics	2.857
ORGANIC PROCESS RESEARCH & DEVELOPMENT	2.857
Biology Direct	2.856
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY	2.854
ATHEROSCLEROSIS SUPPLEMENTS	2.852
Corporate Social Responsibility and Environmental Management	2.852
Ecohydrology	2.852
Journal of Geriatric Oncology	2.852
ELECTROANALYSIS	2.851
JALA	2.850
Journal of Applied Research in Memory and Cognition	2.850
TROPICAL MEDICINE & INTERNATIONAL HEALTH	2.850
COMPUTERS & SECURITY	2.849
IEEE MULTIMEDIA	2.849
Reproductive Biology and Endocrinology	2.849
AGRICULTURAL WATER MANAGEMENT	2.848
BMC Medical Genomics	2.848
International Wound Journal	2.848
VIRCHOWS ARCHIV	2.848
WATER RESOURCES MANAGEMENT	2.848
WORLD DEVELOPMENT	2.848
CHEMBIOCHEM	2.847
COMPUTERS & STRUCTURES	2.847
JOURNAL OF PHYSICAL CHEMISTRY A	2.847
EUROPEAN JOURNAL OF MECHANICS A-SOLIDS	2.846
Plasma Processes and Polymers	2.846
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING	2.846
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING	2.845
Advances in Nonlinear Analysis	2.844
ECONOMIC POLICY	2.844
INSECT MOLECULAR BIOLOGY	2.844
INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH	2.843
ULTRAMICROSCOPY	2.843
EAR AND HEARING	2.842
ECOLOGY AND SOCIETY	2.842
ECOLOGY AND SOCIETY	2.842
Neurodegenerative Diseases	2.842
JOURNAL OF THE AMERICAN CERAMIC SOCIETY	2.841
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS	2.840
Pain Physician	2.840
ANNALS OF THE MISSOURI BOTANICAL GARDEN	2.838
JOURNAL OF ENDOVASCULAR THERAPY	2.838
JOURNAL OF GENERAL VIROLOGY	2.838
JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS	2.838
ZOOLOGICA SCRIPTA	2.837
AICHE JOURNAL	2.836
ANIMAL CONSERVATION	2.835
BIODRUGS	2.835
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY	2.834
Advances In Atomic Molecular and Optical Physics	2.833
EUROPEAN PHYSICAL JOURNAL A	2.833
Liquid Crystals Reviews	2.833
Nanoscale Research Letters	2.833
EXPERIMENTAL THERMAL AND FLUID SCIENCE	2.830
American Journal of Translational Research	2.829
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS	2.829
THIN-WALLED STRUCTURES	2.829
REJUVENATION RESEARCH	2.827
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY	2.825
CLINICAL REHABILITATION	2.823
DRUG AND ALCOHOL REVIEW	2.822
Drug Design Development and Therapy	2.822
LAW AND HUMAN BEHAVIOR	2.822
MANAGEMENT SCIENCE	2.822
MANAGEMENT SCIENCE	2.822
AQUATIC SCIENCES	2.821
JOURNAL OF FLUID MECHANICS	2.821
Ocean Science	2.821
Psychology of Learning and Motivation	2.821
CARDIOVASCULAR DRUGS AND THERAPY	2.820
CURRENT TREATMENT OPTIONS IN ONCOLOGY	2.820
EXPERIMENTAL HEMATOLOGY	2.820
PAIN MEDICINE	2.820
EUROPEAN JOURNAL OF INFORMATION SYSTEMS	2.819
EUROPEAN JOURNAL OF INFORMATION SYSTEMS	2.819
EvoDevo	2.818
Environmental Science-Water Research & Technology	2.817
Clinical Breast Cancer	2.816
HEADACHE	2.816
PERMAFROST AND PERIGLACIAL PROCESSES	2.815
CHINESE JOURNAL OF CATALYSIS	2.813
JOURNAL OF CLINICAL PHARMACOLOGY	2.812
PSYCHOLOGY AND AGING	2.812
PPAR Research	2.811
JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY	2.810
JOURNAL OF PSYCHOSOMATIC RESEARCH	2.809
JOURNAL OF PSYCHOSOMATIC RESEARCH	2.809
MILBANK QUARTERLY	2.809
MILBANK QUARTERLY	2.809
PSYCHOLOGY OF SPORT AND EXERCISE	2.809
PSYCHOLOGY OF SPORT AND EXERCISE	2.809
JOURNAL OF ENDODONTICS	2.807
PLoS One	2.806
Annual Review of Political Science	2.804
DEMOGRAPHY	2.802
Acta Geotechnica	2.801
BREAST	2.801
GENOMICS	2.801
Geoscience Data Journal	2.800
Journal of Legal Analysis	2.800
ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS	2.799
CATALYSIS LETTERS	2.799
JOURNAL OF BIOMEDICAL SCIENCE	2.799
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION	2.799
JOURNAL OF REPRODUCTIVE IMMUNOLOGY	2.798
VETERINARY RESEARCH	2.798
ChemPlusChem	2.797
Genes and Nutrition	2.797
JOURNAL OF HUMAN HYPERTENSION	2.797
SOCIAL SCIENCE & MEDICINE	2.797
SOCIAL SCIENCE & MEDICINE	2.797
PROTIST	2.794
npj Primary Care Respiratory Medicine	2.793
JOURNAL OF EVOLUTIONARY BIOLOGY	2.792
POPULATION AND DEVELOPMENT REVIEW	2.792
Energy for Sustainable Development	2.790
IEEE TRANSACTIONS ON RELIABILITY	2.790
Energy Technology	2.789
Asian Journal of Organic Chemistry	2.788
CELL AND TISSUE RESEARCH	2.787
EPJ Data Science	2.787
EPJ Data Science	2.787
International Journal of Hospitality Management	2.787
APPLIED SOIL ECOLOGY	2.786
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY	2.786
Communications in Nonlinear Science and Numerical Simulation	2.784
THINKING & REASONING	2.783
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS	2.782
Frontiers in Zoology	2.781
Molecular BioSystems	2.781
Science China-Life Sciences	2.781
CURRENT GENE THERAPY	2.780
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY	2.780
REGIONAL STUDIES	2.780
INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID	2.779
ALCOHOL	2.778
AMERICAN JOURNAL OF ROENTGENOLOGY	2.778
PEPTIDES	2.778
INFORMATION SYSTEMS	2.777
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS	2.773
COMMUNICATION THEORY	2.773
Journal of Nutrition Health & Aging	2.772
RESPIRATION	2.772
IEEE TRANSACTIONS ON NANOBIOSCIENCE	2.771
AAPG BULLETIN	2.770
JOURNAL OF MANUFACTURING SYSTEMS	2.770
BOTANICAL REVIEW	2.769
DRUGS & AGING	2.769
Nano Communication Networks	2.769
OPTICS AND LASERS IN ENGINEERING	2.769
American Journal of Cardiovascular Drugs	2.768
BMC INFECTIOUS DISEASES	2.768
JOURNAL OF STRUCTURAL BIOLOGY	2.767
Journal of Grid Computing	2.766
BIOCHEMICAL SOCIETY TRANSACTIONS	2.765
GENDER & SOCIETY	2.765
JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY	2.764
PHYSICAL THERAPY	2.764
European Journal of Cardiovascular Nursing	2.763
European Journal of Cardiovascular Nursing	2.763
INFORMATION SYSTEMS RESEARCH	2.763
IEEE Geoscience and Remote Sensing Letters	2.761
BRITISH JOURNAL OF GENERAL PRACTICE	2.760
ICES JOURNAL OF MARINE SCIENCE	2.760
INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES	2.760
Journal of Oral & Facial Pain and Headache	2.760
POLITICAL PSYCHOLOGY	2.760
BIOMEDICINE & PHARMACOTHERAPY	2.759
PLACENTA	2.759
Journal of the European Economic Association	2.758
PEDIATRIC PULMONOLOGY	2.758
ADVANCES IN CHRONIC KIDNEY DISEASE	2.757
ALCOHOL AND ALCOHOLISM	2.757
ALCOHOL AND ALCOHOLISM	2.757
CLINICAL CARDIOLOGY	2.757
CURRENT MEDICAL RESEARCH AND OPINION	2.757
Gut Pathogens	2.756
SKIN PHARMACOLOGY AND PHYSIOLOGY	2.756
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY	2.755
BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY	2.755
LEUKEMIA & LYMPHOMA	2.755
JOURNAL OF BIOMEDICAL INFORMATICS	2.753
JOURNAL OF FOOD COMPOSITION AND ANALYSIS	2.752
Neurocritical Care	2.752
ANNALS OF PHARMACOTHERAPY	2.748
INTERNATIONAL JOURNAL OF WILDLAND FIRE	2.748
MARINE BIOTECHNOLOGY	2.748
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR	2.748
AGGRESSIVE BEHAVIOR	2.747
AGGRESSIVE BEHAVIOR	2.747
MicrobiologyOpen	2.747
BRAIN RESEARCH	2.746
Therapeutic Advances in Respiratory Disease	2.745
ELECTROPHORESIS	2.744
JOURNAL OF COMPUTATIONAL PHYSICS	2.744
Expert Review of Gastroenterology & Hepatology	2.743
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL	2.743
WORLD JOURNAL OF UROLOGY	2.743
PHYSICS IN MEDICINE AND BIOLOGY	2.742
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	2.741
Cancer Cell International	2.740
Neurophotonics	2.740
CANCER CHEMOTHERAPY AND PHARMACOLOGY	2.737
NUTRITION RESEARCH	2.737
Plant Genome	2.736
CLIMATE POLICY	2.735
STRAHLENTHERAPIE UND ONKOLOGIE	2.735
JOURNAL OF DIABETES AND ITS COMPLICATIONS	2.734
